accuracy: 0.9959655036832306, average precision: 0.9007561058316581, average precision IoU:50: 0.945717731167616,     average recall: 0.9165787172011661, best: 0.9483608047574443
accuracy: 0.9959655036832306, average precision: 0.9007561058316581, average precision IoU:50: 0.945717731167616,     average recall: 0.9165787172011661, best: 0.9483608047574443
accuracy: 0.9959655036832306, average precision: 0.9007561058316581, average precision IoU:50: 0.945717731167616,     average recall: 0.9165787172011661, best: 0.9483608047574443
accuracy: 0.9959655036832306, average precision: 0.9007561058316581, average precision IoU:50: 0.945717731167616,     average recall: 0.9165787172011661, best: 0.9483608047574443
accuracy: 0.9959655036832306, average precision: 0.9007561058316581, average precision IoU:50: 0.945717731167616,     average recall: 0.9165787172011661, best: 0.9483608047574443
accuracy: 0.9959655036832306, average precision: 0.9007561058316581, average precision IoU:50: 0.945717731167616,     average recall: 0.9165787172011661, best: 0.9483608047574443
accuracy: 0.9959655036832306, average precision: 0.9007561058316581, average precision IoU:50: 0.945717731167616,     average recall: 0.9165787172011661, best: 0.9483608047574443
accuracy: 0.9948049041291018, average precision: 0.8958013206569101, average precision IoU:50: 0.940153177625141,     average recall: 0.9152681252681253, best: 0.945303112393006
accuracy: 0.9948049041291018, average precision: 0.8958013206569101, average precision IoU:50: 0.940153177625141,     average recall: 0.9152681252681253, best: 0.945303112393006
accuracy: 0.9948049041291018, average precision: 0.8958013206569101, average precision IoU:50: 0.940153177625141,     average recall: 0.9152681252681253, best: 0.945303112393006
accuracy: 0.9948049041291018, average precision: 0.8958013206569101, average precision IoU:50: 0.940153177625141,     average recall: 0.9152681252681253, best: 0.945303112393006
accuracy: 0.9948049041291018, average precision: 0.8958013206569101, average precision IoU:50: 0.940153177625141,     average recall: 0.9152681252681253, best: 0.945303112393006
accuracy: 0.9972317840619752, average precision: 0.9452591153293154, average precision IoU:50: 0.9716345073368156,     average recall: 0.9587387387387387, best: 0.9712454496956453
